"imageUrl","nameProduct","category","price","description","colors"
"babythree1.jpg","Bộ Váy Baby Three cho bé gái","Váy","129000","Bộ váy xinh xắn với chất liệu cotton mềm mại, thoáng mát. Thiết kế dễ thương phù hợp cho bé từ 1-10 tuổi -10 kg đến 30 kg","Hồng:#e91f83"
"babythree1-1.jpg","Bộ Váy Baby Three cho bé gái","Váy","129000","Bộ váy xinh xắn với chất liệu cotton mềm mại, thoáng mát. Thiết kế dễ thương phù hợp cho bé từ 1-10 tuổi -10 kg đến 30 kg","Cam:#faa9a6"
"babythree1-2.jpg","Bộ Váy Baby Three cho bé gái","Váy","129000","Bộ váy xinh xắn với chất liệu cotton mềm mại, thoáng mát. Thiết kế dễ thương phù hợp cho bé từ 1-10 tuổi -10 kg đến 30 kg","Trắng:#f2f7fd"
"babythree2.jpg","Bộ Váy Baby Three cho bé gái mẫu 2","Váy","129000","Thiết kế thời trang với họa tiết đáng yêu, chất liệu cotton cao cấp giúp bé thoải mái vận động cả ngày.","Cam:#faa9a6"
"babythree2-1.jpg","Bộ Váy Baby Three cho bé gái mẫu 2","Váy","129000","Thiết kế thời trang với họa tiết đáng yêu, chất liệu cotton cao cấp giúp bé thoải mái vận động cả ngày.","Hồng:#e91f83"
"bobetrai1.jpg","Bộ thời trang bé trai","Bộ bé trai","159000","Bộ quần áo thể thao năng động cho bé trai, chất liệu thun co giãn tốt, thoáng khí và dễ vận động.","Xanh:#8fb4db"
"bobetrai1-1.jpg","Bộ thời trang bé trai","Bộ bé trai","159000","Bộ quần áo thể thao năng động cho bé trai, chất liệu thun co giãn tốt, thoáng khí và dễ vận động.","Xanh:#285d9f"
"bobetrai1-2.jpg","Bộ thời trang bé trai","Bộ bé trai","159000","Bộ quần áo thể thao năng động cho bé trai, chất liệu thun co giãn tốt, thoáng khí và dễ vận động.","Đen:#161616"
"bososinh1.jpg","Bộ thời trang trẻ em","Bộ trẻ em","109000","Bộ quần áo cotton mềm mại, an toàn cho làn da nhạy cảm của bé. Thiết kế rộng rãi, thoải mái cho bé vận động.","Xám:#807474"
"bososinh1-1.jpg","Bộ thời trang trẻ em","Bộ trẻ em","109000","Bộ quần áo cotton mềm mại, an toàn cho làn da nhạy cảm của bé. Thiết kế rộng rãi, thoải mái cho bé vận động.","Nâu:#8d5a3b"
"bososinh1-2.jpg","Bộ thời trang trẻ em","Bộ trẻ em","109000","Bộ quần áo cotton mềm mại, an toàn cho làn da nhạy cảm của bé. Thiết kế rộng rãi, thoải mái cho bé vận động.","Đen:#32323e"
